i,j,w_k,v_k,wk_vk,d_k,d_k_renorm,ratio
0,44,0.12844735562856277,8.638359921556104,1.1095744888916406,1.0852708065772985,0.1606327590879786,0.9780963941063396
32,22,0.14415166413099376,7.62329420164734,1.0989105453276196,1.0792631743497099,0.029306206331796897,0.9821210461020262
22,30,0.16666741958142658,6.527251282556743,1.0878801282232895,1.073408037605688,0.036058942024984136,0.9866969804465157
12,18,0.24067899612596297,4.461742339979572,1.0738476673589883,1.0661146295899362,0.08347612595206744,0.9927987572128637
58,14,0.23095389283726253,4.644634958084626,1.07269652437768,1.0643129479094113,0.07332416472233737,0.9921845775783301
5,59,0.17534879983593465,6.123082496526936,1.0736751670624167,1.0564874745902504,0.05000017164921232,0.9839917202153496
15,0,0.15699282374044893,6.963517037713106,1.0932222029153067,1.0559463466436083,0.05687952377825332,0.9659027632513367
56,14,0.11416084880262303,9.442860842741894,1.0780050089324669,1.0557895228417116,0.045186016313485615,0.979392038156896
5,45,0.17139037883027586,6.257803595436482,1.072527328867321,1.055194882708255,0.020759164832007557,0.9838396228305245
51,12,0.2612794841397407,3.994143632521623,1.0435877878852797,1.0421887233781535,0.08417850420591236,0.9986593705643477
31,54,0.11486353908276169,9.308256305832048,1.0691792619773024,1.0399009607822174,0.12035975893706252,0.972616097004221
49,32,0.17016623394244026,6.225280330071176,1.0593325090041636,1.0383981208445991,0.07691884557799913,0.9802381329925917
41,7,0.2089713803505458,4.991017867431916,1.0429798931114849,1.0361435156711332,0.06409032676955786,0.9934453410986122
14,39,0.12209865137996731,8.79861544636247,1.0742990800118066,1.0265566083342519,0.07724759225341378,0.9555594223565471
5,8,0.18072131366541436,5.7586188468897515,1.0407051629083295,1.0235906725674244,0.13227270053940335,0.9835549097372811
41,46,0.20461523604740162,4.995443354103021,1.0221438210612135,1.0157566401301115,0.06356292177549726,0.9937511915647343
30,5,0.13713205887931532,7.558569022234206,1.03652213220039,1.0150366037272525,0.07219872977025017,0.9792715198202988
42,50,0.17686983559562272,5.7560663580147375,1.0180745104195614,1.0086217375310538,0.05206835111368828,0.9907150480718626
28,39,0.10805814705654593,9.44460980272971,1.0205670349550622,1.00439037962019,0.022224042969455876,0.9841493456276643
41,57,0.23322143662018435,4.315278986236213,1.0064155645869024,0.9992404743182396,0.13174901550411872,0.9928706485460527
6,45,0.130460002997243,7.725530528204942,1.007872735864909,0.9939385520225655,0.018684149612643856,0.9861746594123454
11,16,0.13565037851509884,7.373355296692583,1.0001984369226578,0.9860145904206752,0.06852601519368386,0.9858189675384592
19,47,0.18617381818961937,5.325379790197573,0.9914462888509162,0.9808501690903979,0.05404627725096764,0.9893124621276265
51,34,0.23403017803191803,4.132275437412442,0.9670771562945558,0.965770985409686,0.03032442782451031,0.9986493622805914
12,14,0.20865506720763796,4.62639739806854,0.9653212600232326,0.9589268940285491,0.0260012438457778,0.9933759192307341
24,56,0.09853322912698605,9.948017178035053,0.9802102559625211,0.9582709991969248,0.09140714519075885,0.9776178053309054
16,40,0.18513202530615977,5.229603418690716,0.9681670724502293,0.9568575145337914,0.1063642858459156,0.9883185885594976
7,53,0.12770191556332192,7.57662921551606,0.9675500643344298,0.9551403212150283,0.0031225931113877145,0.9871740558170103
50,54,0.10635992698224228,8.893912030763257,0.9459558341784662,0.9283356783099646,0.15064536424723887,0.9813731727932054
30,8,0.12827075540205982,7.295075218072382,0.9357448089369907,0.9210827654626428,0.10600802013300012,0.9843311516833269
48,53,0.13400737926035525,6.985549754927753,0.9361152153506851,0.9071278710806887,0.05767953583515588,0.9690344267514793
13,10,0.1129011858247607,8.097278679500599,0.9141923648691701,0.90344492253203,0.15501510979111358,0.9882437846232963
3,15,0.10436108788054752,8.70710500497925,0.9086829506097945,0.8964287161991622,0.052780485645934086,0.9865142903777288
42,41,0.1737874214859171,5.194384579304943,0.9027187022436164,0.8949750444988085,0.06776059133538391,0.9914218485497621
8,23,0.14743862892879936,6.142625564562763,0.905660291262126,0.8922572201376163,0.02588702927778579,0.9852007742264695
8,12,0.15065868273189062,5.930038163188498,0.8934117382158193,0.881803649705256,0.06446677302816485,0.9870070114214694
52,19,0.12090814217878777,7.444100389229056,0.9000523482540761,0.8807389981200142,0.07508590291465345,0.978541970173706
25,47,0.11742943251432839,7.589690010871444,0.8912529909363005,0.8786085535201558,0.0634933313630159,0.9858127405520837
39,38,0.11111308700562657,8.000569244877907,0.8889679466006589,0.8781388249435806,0.08550780280090849,0.9878183215733616
32,58,0.10583729963128065,8.390568145404236,0.888035074881827,0.87604194895583,0.0703451981748569,0.9864947610007488
25,21,0.11061057488506311,7.974964090860944,0.8821153627778636,0.8714620371680328,0.009984076863103479,0.9879229791710208
58,19,0.1882907035724702,4.635098053646867,0.8727458736485558,0.8671137020615719,0.05877020484059961,0.9935466076013189
35,17,0.12716625189822742,6.851866130772367,0.8713261343587317,0.8610700434259817,0.008220462306540327,0.9882293316723499
4,55,0.18835288400461792,4.5657495718381265,0.8599720994985606,0.8540736688715774,0.09035677118773042,0.9931411372177976
41,6,0.17662574759901492,4.852052019824456,0.8569973153908049,0.8518932075376854,0.022224250108785402,0.9940441962168901
51,22,0.19924065605830732,4.2476354850958575,0.8463016807470451,0.8363402664733274,0.004043422680468482,0.9882294759654445
23,39,0.15902472536027018,5.295949624191628,0.8421869345088998,0.8351260354336166,0.005476826358763734,0.9916159954685113
5,26,0.12997092764906032,6.440288800964135,0.837050309789163,0.8294716181684804,0.012299670125394199,0.9909459544640853
46,50,0.07339115945033005,11.480955480900016,0.8426006343408738,0.8280862641127619,0.023424471258771132,0.9827743184178044
38,17,0.15512969822100475,5.347198606718238,0.8295093061879774,0.8215655578819784,0.03628465483223165,0.9904235573407795
50,50,0.0840234337830044,10.553312628276288,0.8867255648133169,0.8088697783623993,0.03464276700640208,0.9121985543889122
34,36,0.11264617627219492,7.2828658729852505,0.8203869928950492,0.8032858216001123,0.08835723609089428,0.9791547508151136
